id,comment_text,target,label,predicted_label,non_toxic_logit,toxic_logit
240777,How is SF being even more ridiculous good news?,0.4,0,1,-0.43977845,0.29547888
241137,"Is there any such thing as a 'gay trans woman '?  Technically?  Theoretically, for example, a female, once you become your born sex, anatomically, you will be/continue to be attracted to women and not necessarily gay women.",0.391304347826087,0,1,-0.102688156,0.059917428
242528,"Good thing that garbage isn't written all over our currency.  </sarcasm off>

Cherry picking the bible can be a fun game.   

""Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.""  -  Jesus, Sermon on the Mount.",0.0,0,1,-0.46047837,0.3400751
243532,"This is ridiculous and obvious that some on this site have no idea or concept about what the constitution says? I offer each of them a copy since it is obvious they have not read it! Dangerous criminals what a laugh, they harmed no one unlike the FBI who actually murdered an American Citizen! The other concern I have is the fact people will allow their rights so willingly to be taken away, until they have none. Meanwhile BLAck Lifes Matter, burn towns, block federal highways, etc but no consequences! Some people have really screwed up values apparently! I stand for Freedom!",0.0,0,1,-0.29658967,0.18160377
243803,"Hey ... wait just a darn minute!  Hasn't Mayor Piercy been telling us that the Downtown <I>was already</I> ""revitalized?
 
If work remains to be done, I suggest we wait another 8 years until the Crapstone Student Ghetto starts paying taxes.
 
-- Paul",0.0,0,1,-0.17949319,0.050276134
247737,"This was easily the worst Academy Awards show ever.  Having Chris Rock emcee was an utter disaster.   I recorded the show, and listened to his nonsense for awhile.   And then I just fast forwarded over him for the rest of the show.  

And allowing Sacha Baron Cohen to make that joke about short yellow people with tiny dongs?   What an offensive fool he was.   He and Rock should never, ever be invited back.

Here we had a great batch of wonderful movies and performances this year.   That seemed to be all but forgotten and overlooked.",0.0,0,1,-0.059051566,-0.00016168866
247843,"My fear is that our govt will some day confiscate everything I worked for and dish it out to losers, freaks and criminals.",0.476923076923077,0,1,-0.9246272,0.8353004
248802,"Perhaps the ghost of Deady exists in Deady Hall?  Are there  moans of despair heard during classes there?  Have innocent blacks been found dismembered in the hallways?  What is the actual source of this alleged 'fear'?  Are only black students afraid?  How do the Chinese students react, since he was an advocate for them?  To 'fear' a building due to its name is ludicrous at best.  It doesn't even reach the status of decent hyperbole.",0.4,0,1,-0.11998146,0.0542037
249212,"Now it comes out...  a shameless plug for Communism.

""...is it about allowing the pigs to slop up as much as they wish, leaving nothing for anyone else, or is it about instituting some rules that protect the majority?""",0.4,0,1,-0.029522687,-0.015555644
249487,"I worked in Salem for 12 1/2 years as a State of Oregon employee; trust me, I know Pigs when I see them!   Many of them wear purple and gold.",0.4,0,1,-0.14560984,0.15140766
250470,"I suppose a white person is guilty of all the sins committed by any leader who is white  throughout history. This is your logic. It is ridiculous. Let's run through the facts again.
1. Imago Dei is NOT a political church. Rolling Hills Church? Yes. Imago? No.
2. The parishioners at Imago, if you want to force them into an evangelical label as you are hell bent on doing, are at the left end of that spectrum. You obviously never read BLJ, written by Don Miller of Imago fame.
3. Because some groups with the evangelical label say some crazy things, like Falwell and Robertson, does NOT mean they speak for all Christians, particularly those mentioned in point 2 above.
But I don't think you want to be open to the idea that not all Christians breath fire and drink venom. For you, that would be to big of a pill to swallow, especially the idea that Christians have done a lot of good in the world.",0.0,0,1,-0.2762022,0.17380999
252814,"WTF?  He's Jewish and should be well aware that lineage is traced through the female line.  Second, what kind of message does this send to his daughters?  Sorry, girls you aren't good enough for me.  I need a son.",0.475,0,1,-0.50075006,0.37583464
252903,"indeed, no charges for letting a cat destroy other peoples property, other peoples animals, but by golly killing a vile cat is against the law. It's time to start suing local governments through the EPA on this issue. cats kill over a billion song birds every year because of grossly irresponsible scum who own them.",0.2,0,1,-0.79594547,0.6707531
254309,"""...thus a lesser being."" You're as sincere as a dull machete.",0.0,0,1,-0.48168832,0.32988164
255073,Doesnt mean she deserved to be murdered,0.1886792452830188,0,1,-0.7426976,0.7261039
255228,"Same old, same old.  The endless cycle.  We will now try to kill as many of them as we can.  They will then try to kill as many as they can.  Someday, the psychos will get their hands on a nuke and if the cycle has not been broken by then, there will be a very sad day.",0.4,0,1,-0.34280607,0.29487553
256513,"""One of the dumbest things America did was pull our youth from our agriculture fields as this has created a generation of snowflakes void of a work ethic.""

Same with the bean fields and cherry orchards here in the valley where I picked in the summer to get money for school clothes.",0.2,0,1,-0.53107834,0.42342392
257034,"There are two parties to a lease, so both parties would be equally liable for an invalid lease. The very sophisticated developer knowingly defrauded the State in violation of State law. The State can claim ignorance and stupidity ( not too hard to prove with our legislators) which generally wins in a jury trial",0.2,0,1,-0.7499871,0.6152889
257787,Brooks taking the three is only a big deal to coach K.  Maybe a little bit of a sore loser?,0.1666666666666666,0,1,-0.5224622,0.3917593
258982,"Or was it the one where black cops beat a white guy on his way to work in a case of 'mistaken identity', then when they realized they had the wrong guy charged him with bleeding on their uniforms?  Or all those black cops who have targeted majority-white Ferguson's citizenry to generate revenue for their majority black city council through bogus traffic stops?  I tend to get those mixed up...",0.3,0,1,-0.046613164,-0.04410383
260250,"I was debating (I thought it was a discussion),  with motleycrew.

In that debate/discussion with motleycrew I said this; 

""Therefore when 40-20 posted ““There is little difference between Communism and Capitalism.” - Barack Hussein Obama”. he did so knowing is was a lie, or he’s to stupid to check his sources, or he likes to thing of himself as a provocateur.""

Go ahead read it again....as many times as you need.  Where do I call motleycrew a liar.

Unless of course motleycrew and 40-20 are the same person.",0.4,0,1,-0.34643766,0.27450982
260343,"Silly Shannyn,

Jesus died so Pete Kelly could deny poor Alaskans Medicaid coverage.",0.1666666666666666,0,1,-0.45852014,0.40448168
260460,The blind and corrupt leading the blind.  :),0.3,0,1,-0.2617867,0.18694574
260547,"I purchased these as well, and I must say they are HORRIBLE. The company claims and uses creative marketing words and slang to make you think you do not have to wear any protection, but in fact you do, after you complain they state"" it is only for a backup"" Why the hell would I have paid you $34 for a backup? They have PAID hundreds of bloggers and people to go on social media to act like it is the greatest thing ever.NOT!

I personally used them and after 1.5 hours had blood on my damn clothes (I am not a heavy bleeder at all)They gladly refunded me after I emailed to complain, but that was only their way of getting the real people who know their product does not work to not say anything. 
If you look at most of their reviews you can tell they are fake - from friends of friends, there are over 30 employees who work there - most free interns - so if 30 people and 30 more of their friends post all over it looks like great reviews. 

This company should stop selling dreams and be honest",0.4,0,1,-0.30853847,0.23085143
260572,"I'm not passing judgement one way or another because I don't know. My comments were aimed at Charles Wohlforth who stoked anger against whites with his lengthy diatribe about how he feels whites have mistreated natives. That is utter nonsense. Charles Wohlforth has clearly shown that he likes to play the race card, and my experience is that the people who scream racism the loudest tend to be the biggest racists!",0.3,0,1,-0.14124498,0.085109085
260619,Young Ivanoff...fish up one of those big ole Irish Lords (Sculpin) and cut off its head. Throw it into the water and the head will try to swim in circles for a long time! All it's guts are in it's head! Me and my Sister used to gross out people on the docks with that one in Auke Bay. Eat the body! Boil it up and pick off the meat with your fingers. We called it Finger Fish Nite. We used to put the bladders on the dock and dare each other to pop it. It stinks!,0.0,0,1,-0.5168063,0.46657696
